Name,Platform,Year_of_Release,Genre,NA_Sales,Global_Sales,Critic_Score,User_Score,Rating
Xenosaga Episode I: Der Wille zur Macht,PS2,2002.0,Role-Playing,0.63,1.74,83.0,8.7,T
Naruto: Clash of Ninja,GC,2003.0,Fighting,0.53,0.68,72.0,8.1,T
Ferrari Challenge Trofeo Pirelli,PS3,2008.0,Racing,0.0,0.04,71.0,6.2,E
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007.0,Shooter,0.35,0.53,61.0,6.4,T
Dead Rising 2: Off the Record,PS3,2011.0,Action,0.11,0.32,72.0,7.1,M
Tiger Woods PGA Tour 07,XB,2006.0,Sports,0.13,0.19,81.0,6.8,E
Ace Combat X: Skies of Deception,PSP,2006.0,Simulation,0.37,0.99,75.0,8.3,T
Karaoke Revolution Volume 2,PS2,2004.0,Misc,0.11,0.23,76.0,7.0,E
Death Jr. and the Science Fair of Doom,DS,2007.0,Platform,0.08,0.08,47.0,7.5,E10+
Finding Nemo,GC,2003.0,Action,0.69,0.89,62.0,5.5,E
Karaoke Revolution Glee,Wii,2010.0,Misc,0.51,0.82,,,T
Samurai Warriors,XB,2004.0,Action,0.05,0.07,71.0,9.0,T
Viewtiful Joe: Red Hot Rumble,PSP,2006.0,Action,0.08,0.09,63.0,6.3,T
Need for Speed: The Run,PC,2011.0,Action,0.09,0.36,69.0,5.8,T
Petz Fantasy: Sunshine Magic,DS,2010.0,Simulation,0.07,0.08,,,E
Need for Speed: Most Wanted,X360,2005.0,Racing,1.0,1.25,83.0,8.5,T
NHL 2K3,XB,2002.0,Sports,0.09,0.12,89.0,7.1,E
Psychonauts,XB,2005.0,Platform,0.09,0.12,88.0,9.0,T
Ty the Tasmanian Tiger 3: Night of the Quinkan,GC,2005.0,Action,0.07,0.09,68.0,8.0,E10+
uDraw Studio: Instant Artist,Wii,2011.0,Misc,0.06,0.17,,,E
WWE All Stars,X360,2011.0,Fighting,0.18,0.34,75.0,7.2,T
Dead Rising: Chop Till You Drop,Wii,2009.0,Action,0.15,0.29,61.0,6.5,M
PoPoLoCrois,PSP,2005.0,Role-Playing,0.05,0.06,66.0,7.4,E
Max Payne 3,X360,2012.0,Shooter,0.86,1.62,86.0,7.8,M
Onechanbara: Bikini Samurai Squad,X360,2006.0,Action,0.11,0.13,39.0,6.4,M
LocoRoco 2,PSP,2008.0,Platform,0.21,0.35,85.0,8.4,E
Goldeneye 007: Reloaded,PS3,2011.0,Shooter,0.33,0.78,72.0,6.3,T
